user_id,age,gender,student,employed,cyc_freq,distance,time,speed,abs_days
81,29,F,0,1,Daily,8.17,28,17.51,5
82,41,F,0,1,>> per week,2.41,10,14.46,2
83,38,M,0,1,>> per week,1.41,11,7.69,3
84,30,M,0,1,>> per week,8.67,35,14.86,5
85,29,M,0,1,Daily,2.31,10,13.86,4
86,22,M,1,0,Daily,0.85,4,12.75,4
87,61,M,0,1,>> per week,7,38,11.05,4
88,25,M,1,1,>> per week,6.07,29,12.56,3
89,40,M,0,1,>> per week,4.56,21,13.03,3
90,34,M,0,1,Daily,3.9,16,14.63,2
91,36,M,0,1,Daily,3,13,13.85,2
92,38,M,0,1,Daily,1.31,5,15.72,4
93,29,M,0,1,>> per week,0.52,3,10.4,4
94,36,F,0,1,>> per week,3.8,14,16.29,4
95,29,M,0,1,>> per week,5.3,21,15.14,3
96,33,M,0,1,Daily,7.92,49,9.7,4
97,29,M,1,0,>> per week,3.52,15,14.08,3
98,37,M,0,1,Daily,3.13,12,15.65,2
99,43,M,0,1,Daily,9.72,45,12.96,1
100,30,M,0,1,Daily,3.85,15,15.4,3
101,40,M,0,1,>> per week,12.17,50,14.6,2
102,28,M,0,0,Daily,7.03,32,13.18,3
103,25,F,1,0,Daily,13.43,37,21.78,2
104,44,M,0,1,>> per week,9.29,41,13.6,1
105,42,F,0,1,Daily,1.01,6,10.1,1
106,33,M,0,1,>> per week,9.15,43,12.77,0
107,37,M,0,1,Daily,13.47,41,19.71,1
108,32,M,0,1,Daily,6.1,35,10.46,2
109,51,F,0,1,>> per week,5.17,27,11.49,3
110,54,M,0,1,Daily,2.78,27,6.18,4
111,30,M,1,0,Daily,7.19,26,16.59,4
112,34,M,0,1,Daily,9.12,36,15.2,4
113,34,M,0,1,>> per week,0.74,4,11.1,3
114,43,M,0,1,>> per week,12.85,25,30.84,3
115,33,F,1,1,>> per week,8.31,42,11.87,3
116,29,F,0,0,>> per week,3.22,14,13.8,3
117,46,M,0,1,Daily,8.14,40,12.21
118,41,F,0,1,>> per week,3,42,4.29
119,44,F,0,1,Daily,7.84,48,9.8
120,46,F,0,1,>> per week,5.88,26,13.57
121,38,M,0,1,>> per week,9.01,41,13.19
